ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_23_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group
585880,2011-05-16 13:52:37,2011-05-16 14:02:18,1,1,100,1,1,NA,1,1,1,1,1,2,2,0,0,2,2,2,2,2,1,2,2,0,2,0,1,1,0,0,0,0,2,2
57769,2011-05-16 13:54:47,2011-05-16 14:02:27,1,1,100,1,1,1,NA,NA,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
528442,2011-05-16 13:54:06,2011-05-16 14:02:44,1,1,10,1,NA,NA,NA,NA,NA,1,1,2,0,0,0,2,2,2,2,1,2,1,2,2,2,2,1,2,2,0,0,0,1,1
498748,2011-05-16 13:54:27,2011-05-16 14:02:44,1,1,100,1,1,1,NA,NA,1,1,NA,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
1272686,2011-05-16 13:55:07,2011-05-16 14:02:52,1,1,100,1,1,1,NA,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,0,2,1,2,2,1,1,1,1,2,0,2
1225451,2011-05-16 13:53:54,2011-05-16 14:02:53,1,1,100,1,1,1,1,1,NA,1,1,2,0,1,0,2,2,2,2,1,1,0,0,0,2,0,1,1,1,0,0,0,0,2
973776,2011-05-16 13:55:53,2011-05-16 14:03:14,1,1,100,1,1,1,NA,1,1,1,1,1,2,2,1,0,0,0,1,1,1,1,0,2,1,2,1,2,2,2,1,2,0,2
1237269,2011-05-16 13:54:06,2011-05-16 14:04:01,1,1,87,1,1,1,NA,NA,NA,NA,NA,0,1,0,0,1,2,2,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1
713869,2011-05-16 13:52:39,2011-05-16 14:04:10,1,1,100,NA,1,NA,1,NA,1,1,1,1,2,0,0,1,2,1,2,1,2,2,2,0,1,0,0,1,2,1,0,1,2,2
765972,2011-05-16 13:53:04,2011-05-16 14:04:35,1,1,100,1,1,1,1,NA,1,1,1,2,2,0,0,2,2,2,2,2,2,2,2,2,1,2,2,1,1,0,0,2,1,2
382221,2011-05-16 13:53:12,2011-05-16 14:04:56,1,1,50,NA,1,1,NA,NA,NA,NA,NA,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1
1278706,2011-05-16 13:56:12,2011-05-16 14:05:05,1,1,81,1,1,1,1,1,NA,NA,NA,2,2,1,0,2,2,2,2,2,2,2,1,1,2,1,2,1,0,0,0,1,1,2
1162457,2011-05-16 13:58:27,2011-05-16 14:05:10,1,1,100,1,NA,NA,NA,1,1,1,1,2,1,1,0,2,2,2,2,2,0,2,0,0,2,0,1,1,0,0,0,0,1,0
369971,2011-05-16 13:52:23,2011-05-16 14:06:16,1,1,98,1,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1251077,2011-05-16 13:59:43,2011-05-16 14:06:36,1,1,100,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704016,2011-05-16 13:53:25,2011-05-16 14:06:51,1,1,75,NA,NA,NA,NA,NA,1,NA,NA,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,1,0,2
1616728,2011-05-16 13:56:15,2011-05-16 14:07:10,1,1,100,1,1,1,NA,1,1,1,1,0,0,2,2,2,2,2,2,1,1,2,1,2,0,2,2,0,2,2,2,2,0,0
539826,2011-05-16 13:52:15,2011-05-16 14:07:10,1,1,100,NA,1,NA,NA,NA,1,NA,NA,2,1,0,1,1,1,2,2,2,2,1,0,0,2,0,1,2,1,1,1,0,0,0
92396,2011-05-16 13:53:30,2011-05-16 14:07:34,1,1,100,1,1,1,NA,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,0,1,1,1,2,1,2
1253851,2011-05-16 13:57:17,2011-05-16 14:07:35,1,1,20,1,1,NA,NA,1,1,1,NA,1,2,0,1,1,1,2,1,2,2,2,0,0,2,2,2,0,2,1,1,1,1,2
1261226,2011-05-16 13:55:43,2011-05-16 14:07:50,1,1,100,1,1,1,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,1,2,0,0,2,1,0,2,2,2,2,2,1,2
653623,2011-05-16 13:58:34,2011-05-16 14:07:51,1,1,100,NA,1,1,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,2,2,2,1,0,0,2,0,0,0,0,0,0,2,2,2
831232,2011-05-16 13:57:42,2011-05-16 14:08:10,1,1,93,NA,1,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,2,1,NA,NA,NA,NA
1241886,2011-05-16 14:01:29,2011-05-16 14:09:21,1,1,80,1,NA,NA,NA,1,1,1,1,2,2,1,0,2,2,2,2,2,2,2,2,0,2,1,2,1,1,1,0,2,1,2
